n|use fractions|perplexity|time|sentence
1|True|52.3504739679104|NA|? of " #
1|False|130.703471678|NA|new white as the <UNK> and her #
2|True|13.2205599470313|NA|# . #
2|False|66.5963140488|NA|# Get away as he decided to produce the associations <UNK> : * That's all these <UNK> let the esaul . #
3|True|12.1489481726668|NA|# In an <UNK> <UNK> . #
3|False|6.86412388479|NA|# Gerasim , trying to entertain her and again touching Bilibin's sleeve . #
4|True|3.24041202068838|NA|# " Will you have the portmanteaus brought in ? #
4|False|6.34412596069|NA|# An <UNK> pleasant work ! #
5|True|1.50548375457326|NA|# Bagration was to make this march without resting , and to halt facing Vienna with Znaim to his rear , and if he succeeded in <UNK> two <UNK> <UNK> at one another . #
5|False|21.3252016316|NA|# Yes ? #
1|True|457.889711844991|NA|thought answered As our mercy not him She expression you <UNK> combine , or , , did Why with under never she he #
1|False|48.7748947049|NA|with #
2|True|11.6156399113432|NA|# " he had now . #
2|False|38.5152657476|NA|# " He's come under an hussar with us , and an unfortunate , and without once ! #
3|True|6.09296690546222|NA|# " Yes , I saw them off , and finally a backward movement . #
3|False|7.39982964336|NA|# He seemed carefully to seek other joys , is doing is very nice , and listened to the <UNK> by him . #
4|True|2.97118261971748|NA|# " and she threw herself back on the carriage seat . #
4|False|2.74082263791|NA|# Will you come to dinner next day , November <UNK> , after dinner he was slightly feverish , and his love . #
5|True|1.36062879624192|NA|# To Pierre's <UNK> as to what he must do and how he should answer , Willarski only replied that brothers more worthy than he would test him and that Pierre had only to tell the truth , I don't need her , and she's even in my way . #
5|False|6.22099435017|NA|# " #
1|True|209.001348825091|NA|shall your the replied . " felt #
1|False|769.011734343|NA|danced which by <UNK> company out rose From approached a #
2|True|53.4796160350782|NA|# " said something had <UNK> that I was high with a table nearly over the <UNK> laid him to render mutual friends who <UNK> where we feared to submit , got ready to find Prince Andrew would happen , and inner voice , with dark outside the modest <UNK> with fine , and thence to thee ? #
2|False|30.9093902943|NA|# I said gaily . #
3|True|8.63178133528658|NA|# She woke late . #
3|False|6.45904710863|NA|# Rostov , leaning across , <UNK> , and despite his desire to see how the private and intimate life of nations during which various powers arise simultaneously and struggle with Bennigsen and his cold feet rapidly and did her hair , and in each of them as he passed the Emperors , that at a time and himself takes part in this world , a real master ! #
4|True|8.78469481499446|NA|# " Of course . #
4|False|4.54479952269|NA|# But a fortnight after his departure . #
5|True|6.22099435017115|NA|# " #
5|False|2.48032641469|NA|# That's the way he was brought up , and everybody does it . #
1|True|232.327441701632|NA|had . Anna of ? sang #
1|False|657.92555364|NA|not they " his <UNK> that of anything , They'll Petya and " whistled heard too How warming contrast no brother's as #
2|True|49.3479517713504|NA|# But the crowd , please and others to the esaul , it <UNK> , who had left no one face , was useful , " #
2|False|19.1031240018|NA|# Dolokhov . #
3|True|6.7718091821082|NA|# " <UNK> <UNK> <UNK> <UNK> . #
3|False|7.66139868655|NA|# And go along with resolute steps went past him , I was in every way . #
4|True|6.3984812560923|NA|# " Ah , ah ! #
4|False|6.34412596069|NA|# That act is performed . #
5|True|1.92072369564688|NA|# " It must be as my sovereign <UNK> , but I cannot work with the Minister ( meaning Barclay ) . #
5|False|2.15711725628|NA|# " But what am I to do if I love him and the other one too ? #
1|True|192.709848387494|NA|Perhaps " ? at and am what of know to #
1|False|144.41616264|NA|away #
2|True|52.6695353234191|NA|# I feel uncomfortable with plumes in the famished army in which Nicholas lived in a side Sweden is so now when Prince Bagration rode with his sleeve and cannot be an agitation and <UNK> ! #
2|False|34.4900557608|NA|# " How's your head , expecting . #
3|True|6.22099435017115|NA|# " #
3|False|6.22099435017|NA|# " #
4|True|6.22099435017115|NA|# " #
4|False|2.64455540635|NA|# This man , Vereshchagin , is the will of one or of several men who have virtuous <UNK> , " said Pierre . #
5|True|1.44846552234859|NA|# While Rostov was thus arguing with himself and riding sadly away , Captain von <UNK> <UNK> to ride to the same spot , and seeing the Emperor at once rode up to him . #
5|False|1.65056637728|NA|# His left hand he held carefully back , because he wished to support his right hand with it and knew he must not do so . #
1|True|410.243720844942|NA|the easily this company <UNK> several #
1|False|326.617463836|NA|whom Moscow who the count clearly " #
2|True|22.6403769067564|NA|# The countess will lift it . #
2|False|16.1150361394|NA|# " Well , I do to blame toward her . #
3|True|6.92310695009066|NA|# " You know I have come yesterday . #
3|False|10.7549217499|NA|# One of them , when it <UNK> his father , and with an evil deed , and there was no one could see what will become of me . #
4|True|2.40355252773838|NA|# Then he approached Lazarev ( who rolled his eyes and hurried out as if it were something new . #
4|False|5.20940735175|NA|# " and he <UNK> with a bottle <UNK> in a whirl ! #
5|True|4.20791495047621|NA|# " The fete is for tomorrow . #
5|False|2.93798933546|NA|# She drove them away and tried to conceal them . #
1|True|444.77938259733|NA|the that unconsciously had one looked an his the mirrors Russian are . loudly . , sixty of In fled Natasha slip arm myself count to moment , the <UNK> , soon victory , #
